date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-06-06,0,0,0,0,1.0
2025-06-13,0,0,0,0,1.0
2025-06-20,0,0,0,0,1.0
2025-06-27,0,0,0,0,1.0
2025-06-30,6,6,0,0,0.0
2025-07-11,6,2,4,0,0.41666666666666663
2025-07-18,6,0,5,1,0.75
2025-07-25,6,3,3,0,0.2499999999999999
2025-07-31,6,1,5,0,0.5833333333333333
2025-08-01,6,1,3,2,0.5833333333333333
2025-08-08,6,3,3,0,0.24999999999999994
2025-08-15,6,3,3,0,0.24999999999999992
2025-08-22,6,1,5,0,0.5833333333333333
2025-08-29,6,0,4,2,0.75
2025-09-05,6,1,4,1,0.5833333333333333
2025-09-12,6,4,2,0,0.16666666666666652
2025-09-19,6,1,5,0,0.5833333333333333
2025-09-26,6,3,3,0,0.25
2025-09-30,6,6,0,0,-2.220446049250313e-16
2025-10-03,6,1,5,0,0.5833333333333333
2025-10-10,6,0,6,0,0.75
2025-10-17,6,0,5,1,0.75
2025-10-24,6,0,5,1,0.75
2025-10-31,6,4,2,0,0.16666666666666663
2025-11-07,6,1,5,0,0.5833333333333333
2025-11-14,6,2,3,1,0.41666666666666663
2025-11-21,6,2,3,1,0.41666666666666663
2025-11-28,6,2,4,0,0.41666666666666663
2025-12-05,6,1,5,0,0.5833333333333333
2025-12-12,6,1,5,0,0.5833333333333333
2025-12-19,6,1,5,0,0.5833333333333333
2025-12-26,6,0,6,0,0.75
2025-12-31,6,4,2,0,0.16666666666666652
2026-01-02,6,4,2,0,0.16666666666666652
2026-01-09,6,3,3,0,0.25
2026-01-16,6,4,2,0,0.16666666666666652
2026-01-23,6,3,3,0,0.25
2026-01-30,6,0,4,2,0.75
2026-02-06,6,0,6,0,0.75
2026-02-13,6,0,5,1,0.75
2026-02-20,6,0,6,0,0.75
2026-02-27,6,1,4,1,0.5833333333333333
2026-03-06,6,0,4,2,0.75
2026-03-13,6,0,1,5,0.9166666666666666
2026-03-20,6,0,1,5,0.9166666666666666
2026-03-27,6,0,6,0,0.75
2026-03-31,6,4,2,0,0.16666666666666663
