ticker,last_close,ret_6m,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,exit_13d,raw_score,selected,entry_label,model_target_weight,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
XOP,177.1199951171875,0.38070285892162126,0.2486139622440667,4.95,True,True,True,7.582458762492394,6.711301572082542,0.8711571904098516,4.239082102827776,True,False,14.754567524954965,True,BUY NOW,0.13206725909469563,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, at 89-day breakout, 6m return 38.1%, 20d vol 24.9%."
IXC,55.63999938964844,0.3771866935613699,0.15206890795071296,0.9806658426920573,True,True,True,1.7358470818287302,1.617373875325637,0.11847320650309312,1.0341526571121737,False,False,12.915681914185061,True,BUY NOW,0.11560750302307213,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, 6m return 37.7%, 20d vol 15.2%."
XLE,59.310001373291016,0.36299195534844064,0.15520962611442976,1.179334004720052,True,True,True,1.606194163459847,1.5502000362860406,0.05599412717380625,1.0822433959352291,False,False,12.859652481633292,True,BUY NOW,0.11510598689437314,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, 6m return 36.3%, 20d vol 15.5%."
SGOV,100.58000183105469,0.01880164730411993,0.0018004389194630971,0.01880035400390625,True,True,True,0.10030607335350794,0.10124868283671347,-0.0009426094832055282,-0.0012086651132380277,True,False,11.413837879602664,True,BUY NOW,0.0,2.0645814707278127,0.0,-2.0645814707278127,DECREASE,SGOV available as cash sleeve but not currently needed.
AMLP,52.86000061035156,0.1739965063752975,0.09839724065513027,0.7066673278808594,True,True,True,0.6381403050346179,0.712997018935382,-0.0748567139007641,0.5349463860792651,False,False,10.790992449446795,True,WAIT FOR PULLBACK,0.09658953360033128,0.9513789314536842,0.0,-0.9513789314536842,DECREASE,"Selected, but wait for pullback because trend quality is acceptable while current entry timing is not ideal."
MLPA,54.439998626708984,0.16751504622367142,0.10560012559700903,0.6700007120768229,True,True,True,0.641495202579442,0.7158210734961505,-0.0743258709167085,0.5507698005331834,False,False,10.755036153230684,True,WAIT FOR PULLBACK,0.09626769092480539,6.553260054441501,0.0,-6.553260054441501,DECREASE,"Selected, but wait for pullback because trend quality is acceptable while current entry timing is not ideal."
ETHA,16.100000381469727,-0.5204051078990029,0.8360294341442969,0.8746665318806967,False,False,False,-0.1797600131840298,-0.4759744760470333,0.2962144628630035,-0.7000666207280704,False,False,0.0,False,DO NOT BUY,0.0,5.407794891395827,0.0,-5.407794891395827,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IBIT,39.77000045776367,-0.3916169682302315,0.5685109119504363,1.6033330281575522,False,False,False,-0.3937360925219693,-0.7685924506220736,0.3748563581001043,-0.8126707201738697,False,False,0.0,False,DO NOT BUY,0.0,5.222462364677998,0.0,-5.222462364677998,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IGV,82.98999786376953,-0.29183380719474217,0.30212342371028933,2.3026662190755207,False,False,False,-0.790695719455627,-1.0629969353467388,0.2723012158911118,-1.6870156792675832,False,True,0.0,False,DO NOT BUY,0.0,3.0170663088381735,0.0,-3.0170663088381735,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
INDA,46.59000015258789,-0.13626248908507876,0.14299973179268935,0.8360003153483073,False,False,False,-1.358506430618121,-1.0786108889072827,-0.2798955417108382,-0.6793274723180843,False,True,0.0,False,DO NOT BUY,0.0,5.544388756156547,0.0,-5.544388756156547,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
ITOT,141.67999267578125,-0.020189697278532148,0.13652382703212848,2.3395487467447915,False,False,True,-1.6667096423122985,-1.143324585814809,-0.5233850564974896,-1.4597332517676649,False,True,0.0,False,DO NOT BUY,0.0,9.663030821677685,0.0,-9.663030821677685,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
JEPQ,55.7599983215332,0.027364791540622324,0.15428687148440728,0.914599863688151,False,True,True,-0.26770135822248875,-0.14357020623034186,-0.12413115199214689,-0.4390175058010475,False,True,0.0,False,DO NOT BUY,0.0,8.028586758753981,0.0,-8.028586758753981,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
JMOM,67.69000244140625,-0.0008848977525308666,0.17023403142347493,1.2401336669921874,False,True,True,-0.45458092832302555,-0.23518558259932848,-0.21939534572369707,-0.4509502803616201,False,True,0.0,False,DO NOT BUY,0.0,3.024812527017853,0.0,-3.024812527017853,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
JQUA,61.470001220703125,-0.016770736436887423,0.12028653659309546,0.9239336649576823,False,False,True,-0.5037013405394504,-0.311619197771958,-0.19208214276749236,-0.3850706567593969,False,True,0.0,False,DO NOT BUY,0.0,7.965367131238195,0.0,-7.965367131238195,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
MTUM,241.52000427246094,-0.05614493535221721,0.2340484575678552,5.788990275065104,False,False,True,-2.151405559080672,-1.914262669719252,-0.23714288936142003,-2.3180776922917548,False,False,0.0,False,DO NOT BUY,0.0,5.795864319240434,0.0,-5.795864319240434,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
PRF,47.04999923706055,0.049373372940050064,0.11260003814429231,0.7056666056315104,False,True,True,-0.4415656181672176,-0.26252206250129434,-0.17904355566592328,-0.3038697689828087,False,True,0.0,False,DO NOT BUY,0.0,23.13355121392769,0.0,-23.13355121392769,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
RSP,190.47999572753906,0.015114791520565607,0.12727181300300908,3.1393341064453124,False,True,True,-2.1980058070289488,-1.2312967216480193,-0.9667090853809295,-1.0584033873182896,False,True,0.0,False,DO NOT BUY,0.0,1.1427585616478435,0.0,-1.1427585616478435,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
SPLV,72.33999633789062,0.012340483004516845,0.11025014010263683,0.9793385823567708,False,False,True,-0.35109403533630257,0.12061524672950198,-0.47170928206580454,0.1198730295283833,False,True,0.0,False,DO NOT BUY,0.0,7.643070353195719,0.0,-7.643070353195719,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
VHT,269.0299987792969,0.06209539621013893,0.15312061073679864,4.61533203125,False,True,True,-4.682663449249048,-3.0346936749365314,-1.647969774312517,-3.176553909477973,False,True,0.0,False,DO NOT BUY,0.0,4.842025535609073,0.0,-4.842025535609073,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
