ticker,entry_label,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
XOP,BUY NOW,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, at 89-day breakout, 6m return 38.1%, 20d vol 24.9%."
IXC,BUY NOW,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, 6m return 37.7%, 20d vol 15.2%."
XLE,BUY NOW,0.0,33.33333333333333,33.33333333333333,INCREASE,"Selected and executable now because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, 6m return 36.3%, 20d vol 15.5%."
SGOV,BUY NOW,2.0645814707278127,0.0,-2.0645814707278127,DECREASE,SGOV available as cash sleeve but not currently needed.
AMLP,WAIT FOR PULLBACK,0.9513789314536842,0.0,-0.9513789314536842,DECREASE,"Selected, but wait for pullback because trend quality is acceptable while current entry timing is not ideal."
MLPA,WAIT FOR PULLBACK,6.553260054441501,0.0,-6.553260054441501,DECREASE,"Selected, but wait for pullback because trend quality is acceptable while current entry timing is not ideal."
ETHA,DO NOT BUY,5.407794891395827,0.0,-5.407794891395827,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IBIT,DO NOT BUY,5.222462364677998,0.0,-5.222462364677998,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IGV,DO NOT BUY,3.0170663088381735,0.0,-3.0170663088381735,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
INDA,DO NOT BUY,5.544388756156547,0.0,-5.544388756156547,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
ITOT,DO NOT BUY,9.663030821677685,0.0,-9.663030821677685,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
JEPQ,DO NOT BUY,8.028586758753981,0.0,-8.028586758753981,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
JMOM,DO NOT BUY,3.024812527017853,0.0,-3.024812527017853,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
JQUA,DO NOT BUY,7.965367131238195,0.0,-7.965367131238195,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
MTUM,DO NOT BUY,5.795864319240434,0.0,-5.795864319240434,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
PRF,DO NOT BUY,23.13355121392769,0.0,-23.13355121392769,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
RSP,DO NOT BUY,1.1427585616478435,0.0,-1.1427585616478435,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
SPLV,DO NOT BUY,7.643070353195719,0.0,-7.643070353195719,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
VHT,DO NOT BUY,4.842025535609073,0.0,-4.842025535609073,DECREASE,"Not selected because 13-day exit condition active, composite score not strong enough."
